-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         run_experiment         0.00%       0.000us         0.00%       0.000us       0.000us     1193.037s        86.61%     1193.037s     1193.037s             1  
                                         run_experiment         1.67%       20.771s        96.47%     1197.251s     1197.251s       0.000us         0.00%       97.111s       97.111s             1  
autograd::engine::evaluate_function: CompiledFunctio...         0.03%     340.491ms         3.02%       37.475s       9.196ms       0.000us         0.00%       80.614s      19.783ms          4075  
                               CompiledFunctionBackward         0.91%       11.311s         2.99%       37.132s       9.112ms      37.710ms         0.00%       80.614s      19.783ms          4075  
                                                triton_         0.00%       0.000us         0.00%       0.000us       0.000us       75.377s         5.47%       75.377s      66.446us       1134400  
                                  cudaStreamSynchronize         6.54%       81.217s         8.19%      101.589s       7.027ms       0.000us         0.00%       67.993s       4.703ms         14457  
                                               aten::mm         0.99%       12.348s         1.09%       13.490s      38.927us       54.196s         3.93%       54.196s     156.383us        346558  
                                  Torch-Compiled Region         0.78%        9.709s         3.28%       40.763s       4.578ms       0.000us         0.00%       51.547s       5.788ms          8905  
     aten::_scaled_dot_product_flash_attention_backward         0.04%     448.258ms         0.39%        4.815s     196.256us       0.000us         0.00%       25.178s       1.026ms         24534  
                        aten::_flash_attention_backward         0.09%        1.060s         0.30%        3.727s     152.419us       24.086s         1.75%       25.178s       1.030ms         24450  
                                       CompiledFunction         1.22%       15.185s         1.80%       22.348s       5.464ms      47.029ms         0.00%       21.795s       5.329ms          4090  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us       21.611s         1.57%       21.611s     883.867us         24450  
                         aten::_flash_attention_forward         0.12%        1.464s         0.23%        2.853s      53.491us       18.360s         1.33%       18.360s     344.202us         53340  
              aten::_scaled_dot_product_flash_attention         0.05%     643.897ms         0.34%        4.260s      79.664us       0.000us         0.00%       18.306s     342.314us         53478  
ampere_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       14.276s         1.04%       14.276s     401.953us         35516  
triton_poi_fused_native_dropout_backward_threshold_b...         0.02%     255.101ms         0.02%     272.665ms      16.748us       13.341s         0.97%       13.341s     819.452us         16280  
                               triton_poi_fused_relu_11         0.02%     258.372ms         0.02%     265.849ms      13.803us       11.264s         0.82%       11.264s     584.819us         19260  
         ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us       11.261s         0.82%       11.261s     316.593us         35570  
